
	Python anaconda is now loaded in your environment.

Preparing directory /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/PreResNet110/SWA/lr=0.1_wd=8e-06_swastart=176.0_swalr=0.01/
Using model PreResNet110
Loading ImageNet32 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'depth': 110}
SWAG training
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
   1    0.1000     5.1197    9.1860     4.5935   13.9920      1083.3382        0.0109
   2    0.1000     3.8857   22.2552     3.9079   22.9700      1078.9435        0.0214
   3    0.1000     3.4284   28.9290     3.4856   28.5660      1076.8323        0.0214
   4    0.1000     3.1798   32.9248     3.2740   31.6940      1078.4446        0.0214
   5    0.1000     3.0214   35.4851     3.2026   33.3900      1081.7254        0.0214
   6    0.1000     2.9075   37.3404     3.1680   33.7920      1077.4575        0.0214
   7    0.1000     2.8223   38.8215     3.1446   34.5540      1078.2028        0.0214
   8    0.1000     2.7568   39.9175     3.0219   35.8920      1077.3595        0.0214
   9    0.1000     2.7031   40.8420     3.0678   35.5040      1084.0165        0.0214
  10    0.1000     2.6585   41.5915     2.9623   37.0560      1077.5766        0.0214
  11    0.1000     2.6207   42.1990     2.8754   38.4200      1079.8449        0.0214
  12    0.1000     2.5877   42.8379     2.8605   38.5680      1078.3013        0.0214
  13    0.1000     2.5595   43.2978     2.8552   39.0880      1081.3910        0.0214
  14    0.1000     2.5362   43.6887     2.8390   39.3080      1079.5382        0.0214
  15    0.1000     2.5156   44.0287     2.8817   38.9160      1080.5247        0.0214
  16    0.1000     2.4966   44.3909     2.8045   39.5640      1079.1620        0.0214
  17    0.1000     2.4782   44.7013     2.9026   38.5560      1080.6498        0.0214
  18    0.1000     2.4608   44.9616     2.7834   40.5140      1080.6032        0.0214
  19    0.1000     2.4485   45.2779     2.7912   40.0900      1077.9187        0.0214
  20    0.1000     2.4351   45.4676     2.9641   37.5540      1078.1616        0.0214
  21    0.1000     2.4242   45.6605     2.7429   40.9120      1076.7457        0.0214
  22    0.1000     2.4128   45.8160     2.7374   41.3360      1078.8220        0.0214
  23    0.1000     2.4030   46.0051     2.8187   40.0140      1079.5738        0.0214
  24    0.1000     2.3929   46.1594     2.7140   41.0260      1077.3062        0.0214
